Questions,URL,Answers
Do I have to start serving my SHN immediately after I land in Singapore?,ICA/006,"As a condition for entry into Singapore, all travellers must commute directly to their SHN accommodation or SDF immediately after clearing immigration. The failure to do so constitutes a breach of the SHN requirements which is punishable under Singapore’s laws. In the event of an emergency, travellers may contact the SafeTravel Enquiries helpline at 6812 5555 for assistance and advice."
Am I permitted to serve my Stay-Home Notice (SHN) at an SHN-Dedicated Facility (SDF) of my choice?,ICA/007,"Due to the fast-changing demands for SDFs, travellers will be assigned to an available SDF upon arrival. Travellers who wish to book an SDF suite at a specific hotel at an additional cost may click here for more information."
Can I choose my own SHN facility?,ICA/007,"Due to the fast-changing demands for SDFs, travellers will be assigned to an available SDF upon arrival. Travellers who wish to book an SDF suite at a specific hotel at an additional cost may click here for more information."
Can I book my own SHN facility?,ICA/007,"Due to the fast-changing demands for SDFs, travellers will be assigned to an available SDF upon arrival. Travellers who wish to book an SDF suite at a specific hotel at an additional cost may click here for more information."
"Due to the circumstances of my travel, e.g. I’m travelling with my extended family, I have some specific room requirements. How do I request for room adjustments?",ICA/008,"Travellers already in SDF may contact the concierge at the Stay-Home Notice Dedicated Facility (SDF) first for help. For travellers who are not yet in Singapore or for request that the SDF is unable to facilitate, e.g. caregiver support, SDF opt-out, travellers may wish to refer to this page for more details. Travellers may also contact the SafeTravel Enquiries helpline at 6812 5555 for assistance and advice"
Can I request for room adjustments for my SHN?,ICA/008,"Travellers already in SDF may contact the concierge at the Stay-Home Notice Dedicated Facility (SDF) first for help. For travellers who are not yet in Singapore or for request that the SDF is unable to facilitate, e.g. caregiver support, SDF opt-out, travellers may wish to refer to this page for more details. Travellers may also contact the SafeTravel Enquiries helpline at 6812 5555 for assistance and advice"
How do I request for room adjustments for my SHN?,ICA/008,"Travellers already in SDF may contact the concierge at the Stay-Home Notice Dedicated Facility (SDF) first for help. For travellers who are not yet in Singapore or for request that the SDF is unable to facilitate, e.g. caregiver support, SDF opt-out, travellers may wish to refer to this page for more details. Travellers may also contact the SafeTravel Enquiries helpline at 6812 5555 for assistance and advice"
How do I request for room adjustments when I am serving my SHN?,ICA/008,"Travellers already in SDF may contact the concierge at the Stay-Home Notice Dedicated Facility (SDF) first for help. For travellers who are not yet in Singapore or for request that the SDF is unable to facilitate, e.g. caregiver support, SDF opt-out, travellers may wish to refer to this page for more details. Travellers may also contact the SafeTravel Enquiries helpline at 6812 5555 for assistance and advice"
"I am not eligible to opt-out of my Stay-Home Notice Dedicated Facility (SDF), but I am unable to serve my Stay-Home Notice (SHN) at my earlier declared SHN accommodation. What should I do?",ICA/009,"Travellers who encounter difficulties serving their SHNs at their declared SHN accommodation may refer to this page for more details, or contact the SafeTravel Enquiries helpline at 6812 5555 for assistance and advice."
I have difficulty in serving my SHN at my declared SHN accommodation. What should I do?,ICA/009,"Travellers who encounter difficulties serving their SHNs at their declared SHN accommodation may refer to this page for more details, or contact the SafeTravel Enquiries helpline at 6812 5555 for assistance and advice."
What should I do if I have difficulty in serving my SHN at my declared SHN accommodation?,ICA/009,"Travellers who encounter difficulties serving their SHNs at their declared SHN accommodation may refer to this page for more details, or contact the SafeTravel Enquiries helpline at 6812 5555 for assistance and advice."
What can I do if I have difficulty in serving my SHN at my declared SHN accommodation?,ICA/009,"Travellers who encounter difficulties serving their SHNs at their declared SHN accommodation may refer to this page for more details, or contact the SafeTravel Enquiries helpline at 6812 5555 for assistance and advice."
[For Travellers with Category (II) travel history or fully vacccinated travellers with Category (III) travel history approved to opt-out of SHN dedicated facilities] I am serving Stay Home Notice or self-isolation at my own place of residence or self-sourced accommodation. What are the commuting/transport-related rules I should take note of in Singapore?,ICA/010,"All travellers are prohibited from taking public transport, e.g. public bus/train or street-hailed taxis. (i) If you are using your own transport Travellers may be picked up from the airport by an authorised hotel and transport service representative/family member from the same household/friend in a private vehicle. However, there should not be more than one person picking up the traveller, and the traveller must be ferried directly to their declared place of accommodation. If there is more than one traveller, those sharing the same vehicle should have the same travel history and are heading towards the same declared place of accommodation. All persons in the vehicle must wear face masks throughout the journey. In addition, the following precautions are strongly encouraged:- 1. Vehicle windows must be wound down with air conditioning turned off. 2. Where practicable, the front passenger seat should be left unoccupied; 3. The back seat should only be occupied by the traveller(s) 4. The driver should wipe down the vehicle after dropping the traveller off at his/her declared place of accommodation. Please refer to the National Environmental Agency (NEA) guidelines for more information. (ii) Booking taxi/private-hire vehicles When securing a transport booking, travellers must inform the transport operator as well as driver that they are served with a Stay-Home Notice (SHN). Travellers that opt to arrange for transport using a mobile application may key “SHN” in the chat/note/comment box or by checking the SHN checkbox (if provided within the app). Travellers that board a taxi/private hire car should sit alone in the back seat, with windows down and air-conditioning turned off. Only travellers with the same travel history and heading to the same declared place of accommodation are allowed to share a taxi/private-hire vehicle, subjected to permitted passenger capacity in the back seat."
"I am serving SHN at my own place of residence or self-sourced accommodation, can I take the public transportation to the venue?",ICA/010,"All travellers are prohibited from taking public transport, e.g. public bus/train or street-hailed taxis. (i) If you are using your own transport Travellers may be picked up from the airport by an authorised hotel and transport service representative/family member from the same household/friend in a private vehicle. However, there should not be more than one person picking up the traveller, and the traveller must be ferried directly to their declared place of accommodation. If there is more than one traveller, those sharing the same vehicle should have the same travel history and are heading towards the same declared place of accommodation. All persons in the vehicle must wear face masks throughout the journey. In addition, the following precautions are strongly encouraged:- 1. Vehicle windows must be wound down with air conditioning turned off. 2. Where practicable, the front passenger seat should be left unoccupied; 3. The back seat should only be occupied by the traveller(s) 4. The driver should wipe down the vehicle after dropping the traveller off at his/her declared place of accommodation. Please refer to the National Environmental Agency (NEA) guidelines for more information. (ii) Booking taxi/private-hire vehicles When securing a transport booking, travellers must inform the transport operator as well as driver that they are served with a Stay-Home Notice (SHN). Travellers that opt to arrange for transport using a mobile application may key “SHN” in the chat/note/comment box or by checking the SHN checkbox (if provided within the app). Travellers that board a taxi/private hire car should sit alone in the back seat, with windows down and air-conditioning turned off. Only travellers with the same travel history and heading to the same declared place of accommodation are allowed to share a taxi/private-hire vehicle, subjected to permitted passenger capacity in the back seat."
"I am serving SHN at my own place of residence or self-sourced accommodation, how should I go to the venue?",ICA/010,"All travellers are prohibited from taking public transport, e.g. public bus/train or street-hailed taxis. (i) If you are using your own transport Travellers may be picked up from the airport by an authorised hotel and transport service representative/family member from the same household/friend in a private vehicle. However, there should not be more than one person picking up the traveller, and the traveller must be ferried directly to their declared place of accommodation. If there is more than one traveller, those sharing the same vehicle should have the same travel history and are heading towards the same declared place of accommodation. All persons in the vehicle must wear face masks throughout the journey. In addition, the following precautions are strongly encouraged:- 1. Vehicle windows must be wound down with air conditioning turned off. 2. Where practicable, the front passenger seat should be left unoccupied; 3. The back seat should only be occupied by the traveller(s) 4. The driver should wipe down the vehicle after dropping the traveller off at his/her declared place of accommodation. Please refer to the National Environmental Agency (NEA) guidelines for more information. (ii) Booking taxi/private-hire vehicles When securing a transport booking, travellers must inform the transport operator as well as driver that they are served with a Stay-Home Notice (SHN). Travellers that opt to arrange for transport using a mobile application may key “SHN” in the chat/note/comment box or by checking the SHN checkbox (if provided within the app). Travellers that board a taxi/private hire car should sit alone in the back seat, with windows down and air-conditioning turned off. Only travellers with the same travel history and heading to the same declared place of accommodation are allowed to share a taxi/private-hire vehicle, subjected to permitted passenger capacity in the back seat."
"I am serving SHN at my own place of residence or self-sourced accommodation, can my friends pick me up?",ICA/010,"All travellers are prohibited from taking public transport, e.g. public bus/train or street-hailed taxis. (i) If you are using your own transport Travellers may be picked up from the airport by an authorised hotel and transport service representative/family member from the same household/friend in a private vehicle. However, there should not be more than one person picking up the traveller, and the traveller must be ferried directly to their declared place of accommodation. If there is more than one traveller, those sharing the same vehicle should have the same travel history and are heading towards the same declared place of accommodation. All persons in the vehicle must wear face masks throughout the journey. In addition, the following precautions are strongly encouraged:- 1. Vehicle windows must be wound down with air conditioning turned off. 2. Where practicable, the front passenger seat should be left unoccupied; 3. The back seat should only be occupied by the traveller(s) 4. The driver should wipe down the vehicle after dropping the traveller off at his/her declared place of accommodation. Please refer to the National Environmental Agency (NEA) guidelines for more information. (ii) Booking taxi/private-hire vehicles When securing a transport booking, travellers must inform the transport operator as well as driver that they are served with a Stay-Home Notice (SHN). Travellers that opt to arrange for transport using a mobile application may key “SHN” in the chat/note/comment box or by checking the SHN checkbox (if provided within the app). Travellers that board a taxi/private hire car should sit alone in the back seat, with windows down and air-conditioning turned off. Only travellers with the same travel history and heading to the same declared place of accommodation are allowed to share a taxi/private-hire vehicle, subjected to permitted passenger capacity in the back seat."
"[For non-fully vaccinated travellers with Category (III) travel history and travellers with Category (IV) travel history] Due to extenuating Circumstances, I have obtained approval to serve SHN at my place of residence/hotel/ serviced apartment. What are the types of transport that I can take?",ICA/011,"For such travellers approved to serve SHN at their own accommodation, a transport booking must be made with the transport provider Strides Pte Ltd. The following costs will apply, which will be borne by the traveller. Trip Cost (SGD; Excludes 10% credit card charge) Packaged Trip, covering commutes from: 200 i. Checkpoint to SHN accommodation; ii. SHN accommodation to testing for COVID-19 Polymerase Chain Reaction Test on the last day of SHN Ad-hoc round trips approved by the relevant authoritiesb 90 Ad-hoc single trip approved by the relevant authorities 45 The use of public transport (e.g. trains, buses, street-hailed taxis) is prohibited. Travellers must rely on the same transport options when commuting from their SHN accommodation for the COVID-19 Polymerase Chain Reaction test that is administered on the last day of SHN."
"I am serving SHN at my own place, can I take the public transportation to the venue?",ICA/011,"For such travellers approved to serve SHN at their own accommodation, a transport booking must be made with the transport provider Strides Pte Ltd. The following costs will apply, which will be borne by the traveller. Trip Cost (SGD; Excludes 10% credit card charge) Packaged Trip, covering commutes from: 200 i. Checkpoint to SHN accommodation; ii. SHN accommodation to testing for COVID-19 Polymerase Chain Reaction Test on the last day of SHN Ad-hoc round trips approved by the relevant authoritiesb 90 Ad-hoc single trip approved by the relevant authorities 45 The use of public transport (e.g. trains, buses, street-hailed taxis) is prohibited. Travellers must rely on the same transport options when commuting from their SHN accommodation for the COVID-19 Polymerase Chain Reaction test that is administered on the last day of SHN."
"I am serving SHN at my own place, how should I go to the venue?",ICA/011,"For such travellers approved to serve SHN at their own accommodation, a transport booking must be made with the transport provider Strides Pte Ltd. The following costs will apply, which will be borne by the traveller. Trip Cost (SGD; Excludes 10% credit card charge) Packaged Trip, covering commutes from: 200 i. Checkpoint to SHN accommodation; ii. SHN accommodation to testing for COVID-19 Polymerase Chain Reaction Test on the last day of SHN Ad-hoc round trips approved by the relevant authoritiesb 90 Ad-hoc single trip approved by the relevant authorities 45 The use of public transport (e.g. trains, buses, street-hailed taxis) is prohibited. Travellers must rely on the same transport options when commuting from their SHN accommodation for the COVID-19 Polymerase Chain Reaction test that is administered on the last day of SHN."
"I am serving SHN at my own place, can my friends pick me up?",ICA/011,"For such travellers approved to serve SHN at their own accommodation, a transport booking must be made with the transport provider Strides Pte Ltd. The following costs will apply, which will be borne by the traveller. Trip Cost (SGD; Excludes 10% credit card charge) Packaged Trip, covering commutes from: 200 i. Checkpoint to SHN accommodation; ii. SHN accommodation to testing for COVID-19 Polymerase Chain Reaction Test on the last day of SHN Ad-hoc round trips approved by the relevant authoritiesb 90 Ad-hoc single trip approved by the relevant authorities 45 The use of public transport (e.g. trains, buses, street-hailed taxis) is prohibited. Travellers must rely on the same transport options when commuting from their SHN accommodation for the COVID-19 Polymerase Chain Reaction test that is administered on the last day of SHN."
I have an upcoming flight to Singapore. Do I need to be tested for COVID-19 before travelling? What test should I take and how long before my departure should I be tested?,ICA/012,"Travellers approved for entry into Singapore will be informed via a condition stipulated in the Entry Approval Letter or SafeTravel Pass on whether they need to be tested for COVID-19 before arrival. Alternatively, travellers who are planning to visit Singapore may refer to this table or the specific safe travel lanes to check if he/she needs to be tested before arrival. To test for COVID-19, travellers bound for Singapore are required to take a COVID-19 Polymerase Chain Reaction test (“PCR test”) at an internationally accredited or recognised lab/clinic/medical facility. Travellers should ask for a copy of their PCR test result as it will be considered by the airline and immigration officer as proof that the traveller has been tested for COVID-19. The documentary proof should: Be in English (or accompanied with an English translation); Contain the traveller's name, and Date of Birth or Passport number (per the passport used to travel to Singapore); and Reflect the date and result of the PCR test Travellers who fail to produce the required documentary proof of having taken the PCR test within the stipulated time before arrival in Singapore may be denied boarding or turned away. In general, travellers who are required to take a PCR test must do so within 48 hours before departure to Singapore. For passengers on direct flights to Singapore, the 48 hours will be counted from the scheduled departure day of the flight to Singapore. For example, if the flight is scheduled to depart on 28 May 2021, the COVID-19 PCR test must be taken no earlier than 26 May 2021. For passengers who are taking a connecting flight to Singapore, the 48 hours will be counted from the scheduled departure of his flight from his first embarkation point of his journey to Singapore. For example, if the passenger’s flight itinerary is LAX-NRT-SIN, the COVID-19 PCR test must be taken within 48 hours before the scheduled departure of his flight from LAX."
Do I need to be tested for Covid-19 before entering Singapore?,ICA/012,"Travellers approved for entry into Singapore will be informed via a condition stipulated in the Entry Approval Letter or SafeTravel Pass on whether they need to be tested for COVID-19 before arrival. Alternatively, travellers who are planning to visit Singapore may refer to this table or the specific safe travel lanes to check if he/she needs to be tested before arrival. To test for COVID-19, travellers bound for Singapore are required to take a COVID-19 Polymerase Chain Reaction test (“PCR test”) at an internationally accredited or recognised lab/clinic/medical facility. Travellers should ask for a copy of their PCR test result as it will be considered by the airline and immigration officer as proof that the traveller has been tested for COVID-19. The documentary proof should: Be in English (or accompanied with an English translation); Contain the traveller's name, and Date of Birth or Passport number (per the passport used to travel to Singapore); and Reflect the date and result of the PCR test Travellers who fail to produce the required documentary proof of having taken the PCR test within the stipulated time before arrival in Singapore may be denied boarding or turned away. In general, travellers who are required to take a PCR test must do so within 48 hours before departure to Singapore. For passengers on direct flights to Singapore, the 48 hours will be counted from the scheduled departure day of the flight to Singapore. For example, if the flight is scheduled to depart on 28 May 2021, the COVID-19 PCR test must be taken no earlier than 26 May 2021. For passengers who are taking a connecting flight to Singapore, the 48 hours will be counted from the scheduled departure of his flight from his first embarkation point of his journey to Singapore. For example, if the passenger’s flight itinerary is LAX-NRT-SIN, the COVID-19 PCR test must be taken within 48 hours before the scheduled departure of his flight from LAX."
What covid-19 tests should I need to do before entering Singapore?,ICA/012,"Travellers approved for entry into Singapore will be informed via a condition stipulated in the Entry Approval Letter or SafeTravel Pass on whether they need to be tested for COVID-19 before arrival. Alternatively, travellers who are planning to visit Singapore may refer to this table or the specific safe travel lanes to check if he/she needs to be tested before arrival. To test for COVID-19, travellers bound for Singapore are required to take a COVID-19 Polymerase Chain Reaction test (“PCR test”) at an internationally accredited or recognised lab/clinic/medical facility. Travellers should ask for a copy of their PCR test result as it will be considered by the airline and immigration officer as proof that the traveller has been tested for COVID-19. The documentary proof should: Be in English (or accompanied with an English translation); Contain the traveller's name, and Date of Birth or Passport number (per the passport used to travel to Singapore); and Reflect the date and result of the PCR test Travellers who fail to produce the required documentary proof of having taken the PCR test within the stipulated time before arrival in Singapore may be denied boarding or turned away. In general, travellers who are required to take a PCR test must do so within 48 hours before departure to Singapore. For passengers on direct flights to Singapore, the 48 hours will be counted from the scheduled departure day of the flight to Singapore. For example, if the flight is scheduled to depart on 28 May 2021, the COVID-19 PCR test must be taken no earlier than 26 May 2021. For passengers who are taking a connecting flight to Singapore, the 48 hours will be counted from the scheduled departure of his flight from his first embarkation point of his journey to Singapore. For example, if the passenger’s flight itinerary is LAX-NRT-SIN, the COVID-19 PCR test must be taken within 48 hours before the scheduled departure of his flight from LAX."
I am transiting via Singapore. Do I still need to have a valid negative COVID-19 test result?,ICA/013,Click here for the relevant details. https://safetravel.ica.gov.sg/transit/overview#PDT
Do I need to be tested negative for Covid-19 when transiting Singapore?,ICA/013,Click here for the relevant details. https://safetravel.ica.gov.sg/transit/overview#PDT
What will happen if I arrive in Singapore and do not have a valid negative PCR test certificate?,ICA/014,"As a condition to enter Singapore, travellers may be required to produce a negative COVID-19 Polymerase Chain Reaction test (“PCR test”) result. This may be enforced by the airline during pre-boarding checks. Unless there are other compelling reasons, travellers failing to meet this condition will be denied entry into Singapore. Travellers who present falsified COVID-19 test certificates will be dealt with accordingly, and may be barred from future applications for entry into or stay in Singapore."
What will happen if I arrive in Singapore without a valid negative PCR test certificate?,ICA/014,"As a condition to enter Singapore, travellers may be required to produce a negative COVID-19 Polymerase Chain Reaction test (“PCR test”) result. This may be enforced by the airline during pre-boarding checks. Unless there are other compelling reasons, travellers failing to meet this condition will be denied entry into Singapore. Travellers who present falsified COVID-19 test certificates will be dealt with accordingly, and may be barred from future applications for entry into or stay in Singapore."
What will happen if I arrive in Singapore without doing my PCR test?,ICA/014,"As a condition to enter Singapore, travellers may be required to produce a negative COVID-19 Polymerase Chain Reaction test (“PCR test”) result. This may be enforced by the airline during pre-boarding checks. Unless there are other compelling reasons, travellers failing to meet this condition will be denied entry into Singapore. Travellers who present falsified COVID-19 test certificates will be dealt with accordingly, and may be barred from future applications for entry into or stay in Singapore."
I was recently diagnosed with COVID-19 infection. When can I travel into Singapore?,ICA/015,"Travellers who are unwell or recently diagnosed with COVID-19 should defer their travels. To prevent the spread of COVID-19, airlines will deny travellers from boarding an aircraft if they have a recent diagnosis of COVID-19, i.e. first diagnosis made 14 days or fewer from date of travel. Travellers should only schedule their trip to Singapore 14 days after the first diagnosis and after they have fully recovered from COVID-19."
Can I travel to Singapore if I recently had Covid?,ICA/015,"Travellers who are unwell or recently diagnosed with COVID-19 should defer their travels. To prevent the spread of COVID-19, airlines will deny travellers from boarding an aircraft if they have a recent diagnosis of COVID-19, i.e. first diagnosis made 14 days or fewer from date of travel. Travellers should only schedule their trip to Singapore 14 days after the first diagnosis and after they have fully recovered from COVID-19."
I have recovered from COVID-19. Am I required to be tested for COVID-19 before departure for Singapore?,ICA/016,"If a COVID-19 Polymerase Chain Reaction test (“PCR test”) is required to be taken 48 hours before departure, i.e. a condition for entry into Singapore, travellers must take the test regardless of whether they have recovered from COVID-19. Travellers will be denied boarding by their airline or ferry if they are: diagnosed with COVID-19 infection 14 days or less, from the date of travel; and/or tested positive on the COVID-19 PCR test within 48 hours before departure for Singapore."
Do I still need to be tested for Covid-19 if I have already recovered from it?,ICA/016,"If a COVID-19 Polymerase Chain Reaction test (“PCR test”) is required to be taken 48 hours before departure, i.e. a condition for entry into Singapore, travellers must take the test regardless of whether they have recovered from COVID-19. Travellers will be denied boarding by their airline or ferry if they are: diagnosed with COVID-19 infection 14 days or less, from the date of travel; and/or tested positive on the COVID-19 PCR test within 48 hours before departure for Singapore."
Do I still need to do PCR test when entering Singapore if I have already recovered from it?,ICA/016,"If a COVID-19 Polymerase Chain Reaction test (“PCR test”) is required to be taken 48 hours before departure, i.e. a condition for entry into Singapore, travellers must take the test regardless of whether they have recovered from COVID-19. Travellers will be denied boarding by their airline or ferry if they are: diagnosed with COVID-19 infection 14 days or less, from the date of travel; and/or tested positive on the COVID-19 PCR test within 48 hours before departure for Singapore."
How will I be informed of my COVID-19 test result?,ICA/017,Hardcopy/softcopy of the COVID-19 test result will not be issued. Travellers who are Work Pass Holders (and their dependants) will receive their results via SMS or email. All other travellers will be informed of their swab test results verbally by phone or in person. Travellers with a SingPass account may login to HealthHub to view their swab test results once available.
How will my PCR test results be sent to me?,ICA/017,Hardcopy/softcopy of the COVID-19 test result will not be issued. Travellers who are Work Pass Holders (and their dependants) will receive their results via SMS or email. All other travellers will be informed of their swab test results verbally by phone or in person. Travellers with a SingPass account may login to HealthHub to view their swab test results once available.
How will I be informed of my PCR test results?,ICA/017,Hardcopy/softcopy of the COVID-19 test result will not be issued. Travellers who are Work Pass Holders (and their dependants) will receive their results via SMS or email. All other travellers will be informed of their swab test results verbally by phone or in person. Travellers with a SingPass account may login to HealthHub to view their swab test results once available.
Can I refuse the COVID-19 test in Singapore?,ICA/018,"As a condition for entry into Singapore, travellers may be required to take a COVID-19 Polymerase Chain Reaction test while in the country. These conditions would be made explicit during application and reiterated to the traveller again, by way of a condition stipulated in their Entry Approval Letter or SafeTravel Pass. Action will be taken against travellers who fail to comply with any of the stipulated requirement/condition for entry into Singapore. This may amount to a fine and/or imprisonment term as prescribed in the Infectious Diseases Act. Additional penalties such as revocation of Work Pass may also apply."
Is it mandatory to do a covid-19 test in Singapore?,ICA/018,"As a condition for entry into Singapore, travellers may be required to take a COVID-19 Polymerase Chain Reaction test while in the country. These conditions would be made explicit during application and reiterated to the traveller again, by way of a condition stipulated in their Entry Approval Letter or SafeTravel Pass. Action will be taken against travellers who fail to comply with any of the stipulated requirement/condition for entry into Singapore. This may amount to a fine and/or imprisonment term as prescribed in the Infectious Diseases Act. Additional penalties such as revocation of Work Pass may also apply."
Do I have to complete my Stay-Home Notice (SHN) if I have been tested negative for COVID-19 before departing to Singapore?,ICA/019,"Yes, travellers must complete their SHN even after they are tested negative for their COVID-19 Polymerase Chain Reaction test (“PCR test”) before departing to Singapore. You may refer to the illustrations here on the general duration of your SHN."
I am travelling with my child. Is my child required to be tested for COVID-19 before entry into Singapore? Are infants exempted?,ICA/020,"Travellers arriving from countries that require a COVID-19 Polymerase Chain Reaction test (“PCR test”) must do so if they are three years old and above in that calendar year (i.e. born in and before 2018) and departing for Singapore from their first point of embarkation on or after 27 Jun 2021, 2359 hrs (1559 hrs GMT). Travellers whose children are below three years old in that calendar year, i.e. born after 2018, are exempted."
Are children and infants required to test for Covid-19 before entering Singapore?,ICA/020,"Travellers arriving from countries that require a COVID-19 Polymerase Chain Reaction test (“PCR test”) must do so if they are three years old and above in that calendar year (i.e. born in and before 2018) and departing for Singapore from their first point of embarkation on or after 27 Jun 2021, 2359 hrs (1559 hrs GMT). Travellers whose children are below three years old in that calendar year, i.e. born after 2018, are exempted."
Why do children need to take the COVID-19 Polymerase Chain Reaction test (“PCR test”)?,ICA/021,"Regardless of age, infected individuals can transmit COVID-19 to other members of the community if undetected. As part of border health control measures to detect cases early and minimise the public health risk of community transmission, COVID-19 testing is extended to inbound travellers aged 3 and above (in that calendar year)."
Why does my child need to take PCR test upon arrival in Singapore?,ICA/021,"Regardless of age, infected individuals can transmit COVID-19 to other members of the community if undetected. As part of border health control measures to detect cases early and minimise the public health risk of community transmission, COVID-19 testing is extended to inbound travellers aged 3 and above (in that calendar year)."
