Question,,Answer
Why does my primary 5 kid still need to sit for year-end exams?,MOE/003,"MOE has carefully considered students' well-being while ensuring sufficient feedback on their readiness and learning progress.

The Primary 5 year-end examinations are useful for teachers, students and parents to know how well students have learned and how to close learning gaps going forward. It will also allow parents to obtain a better understanding of their child's learning progress in relation to the Achievement Level (AL) scoring system, prior to taking the PSLE next year. We would like to assure parents that this year-end examination is not a requirement for the Primary 5 student to progress to Primary 6, but a useful check for the student in their learning and preparation for PSLE next year.

The year-end examinations for Primary 5 students will still proceed under SMMs."
Why does my pri 5 kid still need to sit for year-end exams?,MOE/003,"MOE has carefully considered students' well-being while ensuring sufficient feedback on their readiness and learning progress.

The Primary 5 year-end examinations are useful for teachers, students and parents to know how well students have learned and how to close learning gaps going forward. It will also allow parents to obtain a better understanding of their child's learning progress in relation to the Achievement Level (AL) scoring system, prior to taking the PSLE next year. We would like to assure parents that this year-end examination is not a requirement for the Primary 5 student to progress to Primary 6, but a useful check for the student in their learning and preparation for PSLE next year.

The year-end examinations for Primary 5 students will still proceed under SMMs."
Is this year-end exam a requirement for the Primary 5 student to progress to Primary 6?,MOE/003,"MOE has carefully considered students' well-being while ensuring sufficient feedback on their readiness and learning progress.

The Primary 5 year-end examinations are useful for teachers, students and parents to know how well students have learned and how to close learning gaps going forward. It will also allow parents to obtain a better understanding of their child's learning progress in relation to the Achievement Level (AL) scoring system, prior to taking the PSLE next year. We would like to assure parents that this year-end examination is not a requirement for the Primary 5 student to progress to Primary 6, but a useful check for the student in their learning and preparation for PSLE next year.

The year-end examinations for Primary 5 students will still proceed under SMMs."
Is this year-end exam a requirement for the pri 5 student to progress to pri 6?,MOE/003,"MOE has carefully considered students' well-being while ensuring sufficient feedback on their readiness and learning progress.

The Primary 5 year-end examinations are useful for teachers, students and parents to know how well students have learned and how to close learning gaps going forward. It will also allow parents to obtain a better understanding of their child's learning progress in relation to the Achievement Level (AL) scoring system, prior to taking the PSLE next year. We would like to assure parents that this year-end examination is not a requirement for the Primary 5 student to progress to Primary 6, but a useful check for the student in their learning and preparation for PSLE next year.

The year-end examinations for Primary 5 students will still proceed under SMMs."
Why are year-end examinations for Primary 3 and 4 students cancelled? How would schools determine whether certain students can take Subject-based Banding (SBB) subjects at P5 level?,MOE/004,"To allow more time for curriculum recovery due to disruptions brought about by COVID-19, the year-end examinations for Primary 3 and 4 students will be cancelled.

Primary school students generally progress to the next level. For Primary 3 and 4 students, schools have existing sources of information of students' learning progress such as school-based assessments, and through interactions with and observations of students throughout the year to provide them with feedback on their learning.

In line with existing subject-based banding practices, parents of Primary 4 students will decide on their child's final subject combination in consultation with schools."
Why MOE cancelled exams for pri 3 and 4?,MOE/004,"To allow more time for curriculum recovery due to disruptions brought about by COVID-19, the year-end examinations for Primary 3 and 4 students will be cancelled.

Primary school students generally progress to the next level. For Primary 3 and 4 students, schools have existing sources of information of students' learning progress such as school-based assessments, and through interactions with and observations of students throughout the year to provide them with feedback on their learning.

In line with existing subject-based banding practices, parents of Primary 4 students will decide on their child's final subject combination in consultation with schools."
Why pri 3 and 4 no exams?,MOE/004,"To allow more time for curriculum recovery due to disruptions brought about by COVID-19, the year-end examinations for Primary 3 and 4 students will be cancelled.

Primary school students generally progress to the next level. For Primary 3 and 4 students, schools have existing sources of information of students' learning progress such as school-based assessments, and through interactions with and observations of students throughout the year to provide them with feedback on their learning.

In line with existing subject-based banding practices, parents of Primary 4 students will decide on their child's final subject combination in consultation with schools."
How will pri 4 decide on their pri 5 subject combination if there are no exams?,MOE/004,"To allow more time for curriculum recovery due to disruptions brought about by COVID-19, the year-end examinations for Primary 3 and 4 students will be cancelled.

Primary school students generally progress to the next level. For Primary 3 and 4 students, schools have existing sources of information of students' learning progress such as school-based assessments, and through interactions with and observations of students throughout the year to provide them with feedback on their learning.

In line with existing subject-based banding practices, parents of Primary 4 students will decide on their child's final subject combination in consultation with schools."
How to select subject combi for pri 5 if no exams?,MOE/004,"To allow more time for curriculum recovery due to disruptions brought about by COVID-19, the year-end examinations for Primary 3 and 4 students will be cancelled.

Primary school students generally progress to the next level. For Primary 3 and 4 students, schools have existing sources of information of students' learning progress such as school-based assessments, and through interactions with and observations of students throughout the year to provide them with feedback on their learning.

In line with existing subject-based banding practices, parents of Primary 4 students will decide on their child's final subject combination in consultation with schools."
What are the additional precautionary measures for primary and Special Education (SPED) schools offering the National Curriculum in the lead up to PSLE? Why are they being implemented?,MOE/005,"In view of the recent rise in COVID-19 community cases, MOE will be implementing additional precautionary measures in primary and SPED schools offering the National Curriculum in the lead up to the start of written papers for PSLE.

For Primary 6

Similar to the arrangements for the 2020 year-end national examinations, Primary 6 students will go on a study break prior to the PSLE from 25 to 29 September 2021. This is to minimise the risk of school-based transmissions and reduce the number of students placed on Quarantine Order (QO) or Leave of Absence (LOA) prior to the examination.

For Primary 1 to 5

To better ensure that the PSLE written exams are conducted with minimum disruption, and also as an added precautionary measure for our younger students, we will also implement a Home-Based Learning (HBL) period for all Primary 1 to 5 students this year, from 27 September 2021 to 7 October 2021.

For Primary 1 to 6

There will be an extension of the HBL period for Primary 1 to 6, to include 7 October 2021, whereby Children’s Day celebrations will be held virtually on that day.

MOE will continue to monitor the COVID-19 situation closely and implement additional measures to keep our school environment safe, where necessary."
Any additional precautionary measures that schools have put in place?,MOE/005,"In view of the recent rise in COVID-19 community cases, MOE will be implementing additional precautionary measures in primary and SPED schools offering the National Curriculum in the lead up to the start of written papers for PSLE.

For Primary 6

Similar to the arrangements for the 2020 year-end national examinations, Primary 6 students will go on a study break prior to the PSLE from 25 to 29 September 2021. This is to minimise the risk of school-based transmissions and reduce the number of students placed on Quarantine Order (QO) or Leave of Absence (LOA) prior to the examination.

For Primary 1 to 5

To better ensure that the PSLE written exams are conducted with minimum disruption, and also as an added precautionary measure for our younger students, we will also implement a Home-Based Learning (HBL) period for all Primary 1 to 5 students this year, from 27 September 2021 to 7 October 2021.

For Primary 1 to 6

There will be an extension of the HBL period for Primary 1 to 6, to include 7 October 2021, whereby Children’s Day celebrations will be held virtually on that day.

MOE will continue to monitor the COVID-19 situation closely and implement additional measures to keep our school environment safe, where necessary."
What are the additional precautionary measures that schools have put in place for the upcoming PSLE?,MOE/005,"In view of the recent rise in COVID-19 community cases, MOE will be implementing additional precautionary measures in primary and SPED schools offering the National Curriculum in the lead up to the start of written papers for PSLE.

For Primary 6

Similar to the arrangements for the 2020 year-end national examinations, Primary 6 students will go on a study break prior to the PSLE from 25 to 29 September 2021. This is to minimise the risk of school-based transmissions and reduce the number of students placed on Quarantine Order (QO) or Leave of Absence (LOA) prior to the examination.

For Primary 1 to 5

To better ensure that the PSLE written exams are conducted with minimum disruption, and also as an added precautionary measure for our younger students, we will also implement a Home-Based Learning (HBL) period for all Primary 1 to 5 students this year, from 27 September 2021 to 7 October 2021.

For Primary 1 to 6

There will be an extension of the HBL period for Primary 1 to 6, to include 7 October 2021, whereby Children’s Day celebrations will be held virtually on that day.

MOE will continue to monitor the COVID-19 situation closely and implement additional measures to keep our school environment safe, where necessary."
Will primary and SPED schools offering the National Curriculum remain open during PSLE study break/HBL?,MOE/006,"Primary and SPED schools offering the National Curriculum will remain open for students who require additional support and those whose parents are unable to secure alternative care arrangements during the period of HBL.

MOE Kindergartens, KCare Services and Student Care Centres (SCC) will also remain open."
Will schools remain open during HBL?,MOE/006,"Primary and SPED schools offering the National Curriculum will remain open for students who require additional support and those whose parents are unable to secure alternative care arrangements during the period of HBL.

MOE Kindergartens, KCare Services and Student Care Centres (SCC) will also remain open."
Can I still send my child to school during HBL?,MOE/006,"Primary and SPED schools offering the National Curriculum will remain open for students who require additional support and those whose parents are unable to secure alternative care arrangements during the period of HBL.

MOE Kindergartens, KCare Services and Student Care Centres (SCC) will also remain open."
I am unable to secure alternative care arrangements during the period of HBL. How?,MOE/006,"Primary and SPED schools offering the National Curriculum will remain open for students who require additional support and those whose parents are unable to secure alternative care arrangements during the period of HBL.

MOE Kindergartens, KCare Services and Student Care Centres (SCC) will also remain open."
Can I still send my child to school during PSLE study break?,MOE/006,"Primary and SPED schools offering the National Curriculum will remain open for students who require additional support and those whose parents are unable to secure alternative care arrangements during the period of HBL.

MOE Kindergartens, KCare Services and Student Care Centres (SCC) will also remain open."
No one can take care of my child during HBL period. How?,MOE/006,"Primary and SPED schools offering the National Curriculum will remain open for students who require additional support and those whose parents are unable to secure alternative care arrangements during the period of HBL.

MOE Kindergartens, KCare Services and Student Care Centres (SCC) will also remain open."
"No one can take care of my child during HBL period. I need to work, how?",MOE/006,"Primary and SPED schools offering the National Curriculum will remain open for students who require additional support and those whose parents are unable to secure alternative care arrangements during the period of HBL.

MOE Kindergartens, KCare Services and Student Care Centres (SCC) will also remain open."
"Prior to my child's return to school from study break/HBL, when should they conduct their ART swab test?",MOE/007,"To ensure the safe return of students to school from their study break/period of Home-Based Learning (HBL), primary school students are to do an Antigen Rapid Test (ART) swab test at home on the following dates prior to their return to school and report the results via a link that will be sent to them via the Parent Gateway (PG) note:
Primary 6:	27 or 28 September 2021	Prior to PSLE
Primary 1- 5:	8 or 9 October 2021	Prior to Return from HBL
This will allow for sufficient time for students to take a confirmatory Polymerase Chain Reaction (PCR) swab test if necessary (i.e. if tested positive for ART swab or when obtaining two consecutive invalid ART results)."
Does my child need to do ART test before coming back to school?,MOE/007,"To ensure the safe return of students to school from their study break/period of Home-Based Learning (HBL), primary school students are to do an Antigen Rapid Test (ART) swab test at home on the following dates prior to their return to school and report the results via a link that will be sent to them via the Parent Gateway (PG) note:
Primary 6:	27 or 28 September 2021	Prior to PSLE
Primary 1- 5:	8 or 9 October 2021	Prior to Return from HBL
This will allow for sufficient time for students to take a confirmatory Polymerase Chain Reaction (PCR) swab test if necessary (i.e. if tested positive for ART swab or when obtaining two consecutive invalid ART results)."
Do we need to report the swab test results?,MOE/007,"To ensure the safe return of students to school from their study break/period of Home-Based Learning (HBL), primary school students are to do an Antigen Rapid Test (ART) swab test at home on the following dates prior to their return to school and report the results via a link that will be sent to them via the Parent Gateway (PG) note:
Primary 6:	27 or 28 September 2021	Prior to PSLE
Primary 1- 5:	8 or 9 October 2021	Prior to Return from HBL
This will allow for sufficient time for students to take a confirmatory Polymerase Chain Reaction (PCR) swab test if necessary (i.e. if tested positive for ART swab or when obtaining two consecutive invalid ART results)."
Why my child needs to do ART swab test before going back to school?,MOE/007,"To ensure the safe return of students to school from their study break/period of Home-Based Learning (HBL), primary school students are to do an Antigen Rapid Test (ART) swab test at home on the following dates prior to their return to school and report the results via a link that will be sent to them via the Parent Gateway (PG) note:
Primary 6:	27 or 28 September 2021	Prior to PSLE
Primary 1- 5:	8 or 9 October 2021	Prior to Return from HBL
This will allow for sufficient time for students to take a confirmatory Polymerase Chain Reaction (PCR) swab test if necessary (i.e. if tested positive for ART swab or when obtaining two consecutive invalid ART results)."
Where do we report the results of my child's ART test?,MOE/007,"To ensure the safe return of students to school from their study break/period of Home-Based Learning (HBL), primary school students are to do an Antigen Rapid Test (ART) swab test at home on the following dates prior to their return to school and report the results via a link that will be sent to them via the Parent Gateway (PG) note:
Primary 6:	27 or 28 September 2021	Prior to PSLE
Primary 1- 5:	8 or 9 October 2021	Prior to Return from HBL
This will allow for sufficient time for students to take a confirmatory Polymerase Chain Reaction (PCR) swab test if necessary (i.e. if tested positive for ART swab or when obtaining two consecutive invalid ART results)."
"Why is MOE not implementing a period of HBL for the other levels in secondary schools, JC/CI and other SPED schools since the number of community cases are rising?",MOE/008,"As many of our students and staff in secondary schools, JC/CIs and SPED schools with senior/secondary sections are fully vaccinated, they are less vulnerable than the primary school students. Significantly fewer students will need to be quarantined. Therefore at this point, the assessment is that there is no need to implement HBL for the older students."
Why secondary schools no HBL?,MOE/008,"As many of our students and staff in secondary schools, JC/CIs and SPED schools with senior/secondary sections are fully vaccinated, they are less vulnerable than the primary school students. Significantly fewer students will need to be quarantined. Therefore at this point, the assessment is that there is no need to implement HBL for the older students."
Why JC no HBL?,MOE/008,"As many of our students and staff in secondary schools, JC/CIs and SPED schools with senior/secondary sections are fully vaccinated, they are less vulnerable than the primary school students. Significantly fewer students will need to be quarantined. Therefore at this point, the assessment is that there is no need to implement HBL for the older students."
Why CI no HBL?,MOE/008,"As many of our students and staff in secondary schools, JC/CIs and SPED schools with senior/secondary sections are fully vaccinated, they are less vulnerable than the primary school students. Significantly fewer students will need to be quarantined. Therefore at this point, the assessment is that there is no need to implement HBL for the older students."
My child studies in SPED school. Why only the primary sections have HBL?,MOE/008,"As many of our students and staff in secondary schools, JC/CIs and SPED schools with senior/secondary sections are fully vaccinated, they are less vulnerable than the primary school students. Significantly fewer students will need to be quarantined. Therefore at this point, the assessment is that there is no need to implement HBL for the older students."
Why are SPED schools with primary/junior sections offering the customised SPED curriculum not implementing a period of HBL since the students still remain largely unvaccinated?,MOE/009,"Many of the students in SPED schools benefit from onsite teaching and learning.

SPED schools with primary/junior sections offering the customised SPED curriculum will continue to adhere to strict processes to safeguard the well-being of their students.

Nevertheless, MOE will continue to monitor the COVID-19 situation closely and implement additional measures to keep our school environment safe, where necessary."
Why SPED schools not implementing HBL?,MOE/009,"Many of the students in SPED schools benefit from onsite teaching and learning.

SPED schools with primary/junior sections offering the customised SPED curriculum will continue to adhere to strict processes to safeguard the well-being of their students.

Nevertheless, MOE will continue to monitor the COVID-19 situation closely and implement additional measures to keep our school environment safe, where necessary."
Why SPED schools do not have HBL even for primary sections?,MOE/009,"Many of the students in SPED schools benefit from onsite teaching and learning.

SPED schools with primary/junior sections offering the customised SPED curriculum will continue to adhere to strict processes to safeguard the well-being of their students.

Nevertheless, MOE will continue to monitor the COVID-19 situation closely and implement additional measures to keep our school environment safe, where necessary."
Is the 3-day PSLE study break new? Why do we need to implement a Home-Based Learning period for Primary 1 to 5 students this year?,MOE/010,"Similar to the arrangements for the 2020 year-end national examinations, Primary 6 students will go on a study break prior to the PSLE.

A Home-Based Learning (HBL) period will be implemented for all Primary 1 to 5 students this year for the following reasons:

This is to reduce the risk of COVID-19 cases in schools just before the PSLE, and the number of Primary 6 students that need to be given QO which will mean they miss sitting for the exams. With rising community cases, a period of HBL for the primary school students will also reduce the number who need to be quarantined with a caregiver, which would be disruptive to families."
Why are there HBL for Pri 1 to 5 students?,MOE/010,"Similar to the arrangements for the 2020 year-end national examinations, Primary 6 students will go on a study break prior to the PSLE.

A Home-Based Learning (HBL) period will be implemented for all Primary 1 to 5 students this year for the following reasons:

This is to reduce the risk of COVID-19 cases in schools just before the PSLE, and the number of Primary 6 students that need to be given QO which will mean they miss sitting for the exams. With rising community cases, a period of HBL for the primary school students will also reduce the number who need to be quarantined with a caregiver, which would be disruptive to families."
Why Pri 6 got study break before PSLE?,MOE/010,"Similar to the arrangements for the 2020 year-end national examinations, Primary 6 students will go on a study break prior to the PSLE.

A Home-Based Learning (HBL) period will be implemented for all Primary 1 to 5 students this year for the following reasons:

This is to reduce the risk of COVID-19 cases in schools just before the PSLE, and the number of Primary 6 students that need to be given QO which will mean they miss sitting for the exams. With rising community cases, a period of HBL for the primary school students will also reduce the number who need to be quarantined with a caregiver, which would be disruptive to families."
Why my pri 6 child have a break before PSLE?,MOE/010,"Similar to the arrangements for the 2020 year-end national examinations, Primary 6 students will go on a study break prior to the PSLE.

A Home-Based Learning (HBL) period will be implemented for all Primary 1 to 5 students this year for the following reasons:

This is to reduce the risk of COVID-19 cases in schools just before the PSLE, and the number of Primary 6 students that need to be given QO which will mean they miss sitting for the exams. With rising community cases, a period of HBL for the primary school students will also reduce the number who need to be quarantined with a caregiver, which would be disruptive to families."
What is the 3 days study break before PSLE all about?,MOE/010,"Similar to the arrangements for the 2020 year-end national examinations, Primary 6 students will go on a study break prior to the PSLE.

A Home-Based Learning (HBL) period will be implemented for all Primary 1 to 5 students this year for the following reasons:

This is to reduce the risk of COVID-19 cases in schools just before the PSLE, and the number of Primary 6 students that need to be given QO which will mean they miss sitting for the exams. With rising community cases, a period of HBL for the primary school students will also reduce the number who need to be quarantined with a caregiver, which would be disruptive to families."
 3 day PSLE study break,MOE/010,"Similar to the arrangements for the 2020 year-end national examinations, Primary 6 students will go on a study break prior to the PSLE.

A Home-Based Learning (HBL) period will be implemented for all Primary 1 to 5 students this year for the following reasons:

This is to reduce the risk of COVID-19 cases in schools just before the PSLE, and the number of Primary 6 students that need to be given QO which will mean they miss sitting for the exams. With rising community cases, a period of HBL for the primary school students will also reduce the number who need to be quarantined with a caregiver, which would be disruptive to families."
"With the evolving COVID-19 situation, will there be a possibility that the national examinations may be postponed or cancelled?",MOE/011,"The national examinations are important for students' educational progression. We are confident that we can conduct the year-end national examinations in a safe and fair manner, while putting in place appropriate measures for those candidates who may be affected by COVID-19. As such, we do not envisage the need to postpone or cancel the national examinations.

Nevertheless, MOE and SEAB will monitor the COVID-19 situation closely and provide timely updates if there are any changes."
"With the increase in community cases, will PSLE be cancelled?",MOE/011,"The national examinations are important for students' educational progression. We are confident that we can conduct the year-end national examinations in a safe and fair manner, while putting in place appropriate measures for those candidates who may be affected by COVID-19. As such, we do not envisage the need to postpone or cancel the national examinations.

Nevertheless, MOE and SEAB will monitor the COVID-19 situation closely and provide timely updates if there are any changes."
"With the increase in community cases, will PSLE be postponed?",MOE/011,"The national examinations are important for students' educational progression. We are confident that we can conduct the year-end national examinations in a safe and fair manner, while putting in place appropriate measures for those candidates who may be affected by COVID-19. As such, we do not envisage the need to postpone or cancel the national examinations.

Nevertheless, MOE and SEAB will monitor the COVID-19 situation closely and provide timely updates if there are any changes."
Postponment of PSLE,MOE/011,"The national examinations are important for students' educational progression. We are confident that we can conduct the year-end national examinations in a safe and fair manner, while putting in place appropriate measures for those candidates who may be affected by COVID-19. As such, we do not envisage the need to postpone or cancel the national examinations.

Nevertheless, MOE and SEAB will monitor the COVID-19 situation closely and provide timely updates if there are any changes."
Cancellation of PSLE,MOE/011,"The national examinations are important for students' educational progression. We are confident that we can conduct the year-end national examinations in a safe and fair manner, while putting in place appropriate measures for those candidates who may be affected by COVID-19. As such, we do not envisage the need to postpone or cancel the national examinations.

Nevertheless, MOE and SEAB will monitor the COVID-19 situation closely and provide timely updates if there are any changes."
