Question,URL,Answer,keywords
What should I do if my household members are placed under Home recovery,/questions/455,"If a member of your household is on Home Recovery, they will need to register you and your household members as close contacts. Your household members will receive a Health Risk Warning (HRW).
Click here  to find out what you need to do when you are placed on HRW. https://www.covid.gov.sg/exposed/hrw",home recovery
What should I do if one of my household member is placed under Home recovery,/questions/455,"If a member of your household is on Home Recovery, they will need to register you and your household members as close contacts. Your household members will receive a Health Risk Warning (HRW).
Click here  to find out what you need to do when you are placed on HRW. https://www.covid.gov.sg/exposed/hrw",home recovery
Do I need to stay at home if my family is on home recovery.,/questions/455,"If a member of your household is on Home Recovery, they will need to register you and your household members as close contacts. Your household members will receive a Health Risk Warning (HRW).
Click here  to find out what you need to do when you are placed on HRW. https://www.covid.gov.sg/exposed/hrw",home recovery
What should I do if I am staying with someone undergoing home recovery?,/questions/455,"If a member of your household is on Home Recovery, they will need to register you and your household members as close contacts. Your household members will receive a Health Risk Warning (HRW).
Click here  to find out what you need to do when you are placed on HRW. https://www.covid.gov.sg/exposed/hrw",home recovery
One of my household member is placed under Home recovery,/questions/455,"If a member of your household is on Home Recovery, they will need to register you and your household members as close contacts. Your household members will receive a Health Risk Warning (HRW).
Click here  to find out what you need to do when you are placed on HRW. https://www.covid.gov.sg/exposed/hrw",home recovery
One of my household member is on Home recovery,/questions/455,"If a member of your household is on Home Recovery, they will need to register you and your household members as close contacts. Your household members will receive a Health Risk Warning (HRW).
Click here  to find out what you need to do when you are placed on HRW. https://www.covid.gov.sg/exposed/hrw",home recovery
When can I be discharged from Home Recovery?,/questions/424,"For fully vaccinated individuals, and children aged 12 years and below:
You will automatically be discharged on Day 10. No PCR test is required.
A discharge memo will be issued to you via SMS on the same day.
For unvaccinated individuals above the age of 12:
You will automatically be discharged on Day 14. No PCR test is required.
A discharge memo will be issued to you via SMS on the same day.
Click here  to find out more on what to do after you are discharged from the Home Recovery Programme (HRP). https://www.covid.gov.sg/unwell/hrp",home recovery
How long is Home Recovery?,/questions/424,"For fully vaccinated individuals, and children aged 12 years and below:
You will automatically be discharged on Day 10. No PCR test is required.
A discharge memo will be issued to you via SMS on the same day.
For unvaccinated individuals above the age of 12:
You will automatically be discharged on Day 14. No PCR test is required.
A discharge memo will be issued to you via SMS on the same day.
Click here  to find out more on what to do after you are discharged from the Home Recovery Programme (HRP). https://www.covid.gov.sg/unwell/hrp",home recovery
When will my home recovery ends?,/questions/424,"For fully vaccinated individuals, and children aged 12 years and below:
You will automatically be discharged on Day 10. No PCR test is required.
A discharge memo will be issued to you via SMS on the same day.
For unvaccinated individuals above the age of 12:
You will automatically be discharged on Day 14. No PCR test is required.
A discharge memo will be issued to you via SMS on the same day.
Click here  to find out more on what to do after you are discharged from the Home Recovery Programme (HRP). https://www.covid.gov.sg/unwell/hrp",home recovery
Do i need PCR test at end of home recovery?,/questions/424,"For fully vaccinated individuals, and children aged 12 years and below:
You will automatically be discharged on Day 10. No PCR test is required.
A discharge memo will be issued to you via SMS on the same day.
For unvaccinated individuals above the age of 12:
You will automatically be discharged on Day 14. No PCR test is required.
A discharge memo will be issued to you via SMS on the same day.
Click here  to find out more on what to do after you are discharged from the Home Recovery Programme (HRP). https://www.covid.gov.sg/unwell/hrp","PCR, home recovery"
Is my home recovery 10 or 14 days?,/questions/424,"For fully vaccinated individuals, and children aged 12 years and below:
You will automatically be discharged on Day 10. No PCR test is required.
A discharge memo will be issued to you via SMS on the same day.
For unvaccinated individuals above the age of 12:
You will automatically be discharged on Day 14. No PCR test is required.
A discharge memo will be issued to you via SMS on the same day.
Click here  to find out more on what to do after you are discharged from the Home Recovery Programme (HRP). https://www.covid.gov.sg/unwell/hrp",home recovery
"I am vaccinated, how long is my home recovery.",/questions/424,"For fully vaccinated individuals, and children aged 12 years and below:
You will automatically be discharged on Day 10. No PCR test is required.
A discharge memo will be issued to you via SMS on the same day.
For unvaccinated individuals above the age of 12:
You will automatically be discharged on Day 14. No PCR test is required.
A discharge memo will be issued to you via SMS on the same day.
Click here  to find out more on what to do after you are discharged from the Home Recovery Programme (HRP). https://www.covid.gov.sg/unwell/hrp","ART, home recovery"
ART showed negative after a few days of home recovery? Am I considered recovered and discharged?,/questions/424,"For fully vaccinated individuals, and children aged 12 years and below:
You will automatically be discharged on Day 10. No PCR test is required.
A discharge memo will be issued to you via SMS on the same day.
For unvaccinated individuals above the age of 12:
You will automatically be discharged on Day 14. No PCR test is required.
A discharge memo will be issued to you via SMS on the same day.
Click here  to find out more on what to do after you are discharged from the Home Recovery Programme (HRP). https://www.covid.gov.sg/unwell/hrp","ART, home recovery"
Can I go out if ART showed negative after resting for a few days?,/questions/424,"For fully vaccinated individuals, and children aged 12 years and below:
You will automatically be discharged on Day 10. No PCR test is required.
A discharge memo will be issued to you via SMS on the same day.
For unvaccinated individuals above the age of 12:
You will automatically be discharged on Day 14. No PCR test is required.
A discharge memo will be issued to you via SMS on the same day.
Click here  to find out more on what to do after you are discharged from the Home Recovery Programme (HRP). https://www.covid.gov.sg/unwell/hrp",ART
When will I receive discharge memo?,/questions/424,"For fully vaccinated individuals, and children aged 12 years and below:
You will automatically be discharged on Day 10. No PCR test is required.
A discharge memo will be issued to you via SMS on the same day.
For unvaccinated individuals above the age of 12:
You will automatically be discharged on Day 14. No PCR test is required.
A discharge memo will be issued to you via SMS on the same day.
Click here  to find out more on what to do after you are discharged from the Home Recovery Programme (HRP). https://www.covid.gov.sg/unwell/hrp",discharge memo
When can I be discharged from HRP?,/questions/424,"For fully vaccinated individuals, and children aged 12 years and below:
You will automatically be discharged on Day 10. No PCR test is required.
A discharge memo will be issued to you via SMS on the same day.
For unvaccinated individuals above the age of 12:
You will automatically be discharged on Day 14. No PCR test is required.
A discharge memo will be issued to you via SMS on the same day.
Click here  to find out more on what to do after you are discharged from the Home Recovery Programme (HRP). https://www.covid.gov.sg/unwell/hrp",HRP
When can I be go out after my Home Recovery Programme (HRP)?,/questions/424,"For fully vaccinated individuals, and children aged 12 years and below:
You will automatically be discharged on Day 10. No PCR test is required.
A discharge memo will be issued to you via SMS on the same day.
For unvaccinated individuals above the age of 12:
You will automatically be discharged on Day 14. No PCR test is required.
A discharge memo will be issued to you via SMS on the same day.
Click here  to find out more on what to do after you are discharged from the Home Recovery Programme (HRP). https://www.covid.gov.sg/unwell/hrp","home recovery, HRP"
I am not under the Home Recovery Programme and I have not been transferred to a care facility. What should I do?,/questions/482,"Please stay isolated, and call 6874 4939  to check on the status of your transfer.","home recovery, care facility"
"I have yet to be transferred to a care facility, and I am not under Home Recovery too. Who should I contact to check?",/questions/482,"Please stay isolated, and call 6874 4939  to check on the status of your transfer.","care facility, home recovery"
"Someone called me, told me to pack up for isolation, but there has not been updates.",/questions/482,"Please stay isolated, and call 6874 4939  to check on the status of your transfer.",isolation
I am tested positive. MOH told me I'm not eligible for Home recovery. Where should I go?,/questions/482,"Please stay isolated, and call 6874 4939  to check on the status of your transfer.","MOH, home recovery"
I'm waiting for instructions from MOH for isolation.,/questions/482,"Please stay isolated, and call 6874 4939  to check on the status of your transfer.","MOH, isolation"
I want to be transferred to a care facility. Who can I contact?,/questions/482,"Please stay isolated, and call 6874 4939  to check on the status of your transfer.",care facility
MoH has not contacted me for my transfer to a care facility,/questions/482,"Please stay isolated, and call 6874 4939  to check on the status of your transfer.",care facility
How long does it take to transfer to a care facility?,/questions/482,"Please stay isolated, and call 6874 4939  to check on the status of your transfer.",care facility
Who can I contact to find out about my transfer status?,/questions/482,"Please stay isolated, and call 6874 4939  to check on the status of your transfer.",transfer
How long do I need to wait to get transferred to a care facility?,/questions/482,"Please stay isolated, and call 6874 4939  to check on the status of your transfer.",care facility
How to check on my transfer status?,/questions/482,"Please stay isolated, and call 6874 4939  to check on the status of your transfer.",transfer
What number should I call to check on my transfer?,/questions/482,"Please stay isolated, and call 6874 4939  to check on the status of your transfer.",transfer
How to spot a scam call?,/questions/486,"Official local callers will not have a “+” prefix. Seeing what seems like a local number with a “+” prefix is likely to be a spoofed call. Only incoming international calls have the “+” sign prefix displayed whilst local calls will not have a “+” prefix.
Official callers will not request for personal or financial information over the phone. We are aware of calls falsely informing recipients that they are from MOH, requesting for your personal or financial information over the phone. We urge recipients not to respond to these calls.
Official callers will never send you a recorded message.
Please always verify the authenticity of instructions before offering any personal or financial information. You can verify the authenticity of emails or phone calls by calling us at 1800 333 9999. 
If you receive such a call, call the Police at 1800 255 0000  or submit a report online at www.police.gov.sg/iwitness. Thank you. ","call, scam"
How do I know if a call is spam?,/questions/486,"Official local callers will not have a + prefix. Seeing what seems like a local number with a “+” prefix is likely to be a spoofed call. Only incoming international calls have the + sign prefix displayed whilst local calls will not have a + prefix.
Official callers will not request for personal or financial information over the phone. We are aware of calls falsely informing recipients that they are from MOH, requesting for your personal or financial information over the phone. We urge recipients not to respond to these calls.
Official callers will never send you a recorded message.
Please always verify the authenticity of instructions before offering any personal or financial information. You can verify the authenticity of emails or phone calls by calling us at 1800 333 9999. 
If you receive such a call, call the Police at 1800 255 0000  or submit a report online at www.police.gov.sg/iwitness. Thank you. ",call
How do I know if a call is real?,/questions/486,"Official local callers will not have a + prefix. Seeing what seems like a local number with a “+” prefix is likely to be a spoofed call. Only incoming international calls have the + sign prefix displayed whilst local calls will not have a + prefix.
Official callers will not request for personal or financial information over the phone. We are aware of calls falsely informing recipients that they are from MOH, requesting for your personal or financial information over the phone. We urge recipients not to respond to these calls.
Official callers will never send you a recorded message.
Please always verify the authenticity of instructions before offering any personal or financial information. You can verify the authenticity of emails or phone calls by calling us at 1800 333 9999. 
If you receive such a call, call the Police at 1800 255 0000  or submit a report online at www.police.gov.sg/iwitness. Thank you. ",call
I received a call from MOH telling me I have covid 19. Should I trust it?,/questions/486,"Official local callers will not have a + prefix. Seeing what seems like a local number with a “+” prefix is likely to be a spoofed call. Only incoming international calls have the + sign prefix displayed whilst local calls will not have a + prefix.
Official callers will not request for personal or financial information over the phone. We are aware of calls falsely informing recipients that they are from MOH, requesting for your personal or financial information over the phone. We urge recipients not to respond to these calls.
Official callers will never send you a recorded message.
Please always verify the authenticity of instructions before offering any personal or financial information. You can verify the authenticity of emails or phone calls by calling us at 1800 333 9999. 
If you receive such a call, call the Police at 1800 255 0000  or submit a report online at www.police.gov.sg/iwitness. Thank you. ","call, MOH, Covid"
Will MOH call me but no reply?,/questions/486,"Official local callers will not have a + prefix. Seeing what seems like a local number with a “+” prefix is likely to be a spoofed call. Only incoming international calls have the + sign prefix displayed whilst local calls will not have a + prefix.
Official callers will not request for personal or financial information over the phone. We are aware of calls falsely informing recipients that they are from MOH, requesting for your personal or financial information over the phone. We urge recipients not to respond to these calls.
Official callers will never send you a recorded message.
Please always verify the authenticity of instructions before offering any personal or financial information. You can verify the authenticity of emails or phone calls by calling us at 1800 333 9999. 
If you receive such a call, call the Police at 1800 255 0000  or submit a report online at www.police.gov.sg/iwitness. Thank you. ",MOH
How to tell if it is a spam MOH call?,/questions/486,"Official local callers will not have a + prefix. Seeing what seems like a local number with a “+” prefix is likely to be a spoofed call. Only incoming international calls have the + sign prefix displayed whilst local calls will not have a + prefix.
Official callers will not request for personal or financial information over the phone. We are aware of calls falsely informing recipients that they are from MOH, requesting for your personal or financial information over the phone. We urge recipients not to respond to these calls.
Official callers will never send you a recorded message.
Please always verify the authenticity of instructions before offering any personal or financial information. You can verify the authenticity of emails or phone calls by calling us at 1800 333 9999. 
If you receive such a call, call the Police at 1800 255 0000  or submit a report online at www.police.gov.sg/iwitness. Thank you. ","spam, MOH, call"
How to know if a MOH call is genuine?,/questions/486,"Official local callers will not have a + prefix. Seeing what seems like a local number with a “+” prefix is likely to be a spoofed call. Only incoming international calls have the + sign prefix displayed whilst local calls will not have a + prefix.
Official callers will not request for personal or financial information over the phone. We are aware of calls falsely informing recipients that they are from MOH, requesting for your personal or financial information over the phone. We urge recipients not to respond to these calls.
Official callers will never send you a recorded message.
Please always verify the authenticity of instructions before offering any personal or financial information. You can verify the authenticity of emails or phone calls by calling us at 1800 333 9999. 
If you receive such a call, call the Police at 1800 255 0000  or submit a report online at www.police.gov.sg/iwitness. Thank you. ","MOH, call"
My parents received call from MOH. How can I verify that the call is legit?,/questions/486,"Official local callers will not have a + prefix. Seeing what seems like a local number with a “+” prefix is likely to be a spoofed call. Only incoming international calls have the + sign prefix displayed whilst local calls will not have a + prefix.
Official callers will not request for personal or financial information over the phone. We are aware of calls falsely informing recipients that they are from MOH, requesting for your personal or financial information over the phone. We urge recipients not to respond to these calls.
Official callers will never send you a recorded message.
Please always verify the authenticity of instructions before offering any personal or financial information. You can verify the authenticity of emails or phone calls by calling us at 1800 333 9999. 
If you receive such a call, call the Police at 1800 255 0000  or submit a report online at www.police.gov.sg/iwitness. Thank you. ",MOH
MOH officer called me to ask for my particulars. Can I give?,/questions/486,"Official local callers will not have a + prefix. Seeing what seems like a local number with a “+” prefix is likely to be a spoofed call. Only incoming international calls have the + sign prefix displayed whilst local calls will not have a + prefix.
Official callers will not request for personal or financial information over the phone. We are aware of calls falsely informing recipients that they are from MOH, requesting for your personal or financial information over the phone. We urge recipients not to respond to these calls.
Official callers will never send you a recorded message.
Please always verify the authenticity of instructions before offering any personal or financial information. You can verify the authenticity of emails or phone calls by calling us at 1800 333 9999. 
If you receive such a call, call the Police at 1800 255 0000  or submit a report online at www.police.gov.sg/iwitness. Thank you. ","call, MOH"
I received a call from MOH and the officer spoke to me in Chinese.,/questions/486,"Official local callers will not have a + prefix. Seeing what seems like a local number with a “+” prefix is likely to be a spoofed call. Only incoming international calls have the + sign prefix displayed whilst local calls will not have a + prefix.
Official callers will not request for personal or financial information over the phone. We are aware of calls falsely informing recipients that they are from MOH, requesting for your personal or financial information over the phone. We urge recipients not to respond to these calls.
Official callers will never send you a recorded message.
Please always verify the authenticity of instructions before offering any personal or financial information. You can verify the authenticity of emails or phone calls by calling us at 1800 333 9999. 
If you receive such a call, call the Police at 1800 255 0000  or submit a report online at www.police.gov.sg/iwitness. Thank you. ","call, MOH"
"I received a call from MOH, requesting for my personal information over the phone.",/questions/486,"Official local callers will not have a + prefix. Seeing what seems like a local number with a “+” prefix is likely to be a spoofed call. Only incoming international calls have the + sign prefix displayed whilst local calls will not have a + prefix.
Official callers will not request for personal or financial information over the phone. We are aware of calls falsely informing recipients that they are from MOH, requesting for your personal or financial information over the phone. We urge recipients not to respond to these calls.
Official callers will never send you a recorded message.
Please always verify the authenticity of instructions before offering any personal or financial information. You can verify the authenticity of emails or phone calls by calling us at 1800 333 9999. 
If you receive such a call, call the Police at 1800 255 0000  or submit a report online at www.police.gov.sg/iwitness. Thank you. ","call, MOH"
"I received a call from MOH, requesting for my financial information over the phone.",/questions/486,"Official local callers will not have a + prefix. Seeing what seems like a local number with a “+” prefix is likely to be a spoofed call. Only incoming international calls have the + sign prefix displayed whilst local calls will not have a + prefix.
Official callers will not request for personal or financial information over the phone. We are aware of calls falsely informing recipients that they are from MOH, requesting for your personal or financial information over the phone. We urge recipients not to respond to these calls.
Official callers will never send you a recorded message.
Please always verify the authenticity of instructions before offering any personal or financial information. You can verify the authenticity of emails or phone calls by calling us at 1800 333 9999. 
If you receive such a call, call the Police at 1800 255 0000  or submit a report online at www.police.gov.sg/iwitness. Thank you. ","call, MOH"
I received a Health Risk Warning (HRW) notification. What should I do?,/questions/402,"You must take an Antigen Rapid Test (ART) self-test as soon as you receive the Health Risk Warning (HRW) SMS, and upload the results here.  https://form.gov.sg/#!/61515cd8855f49001279b2ef
If you do not have any ART test kits, you can collect ART self-test kits from vending machines at venues listed here. https://www.gowhere.gov.sg/art
Should you need to leave your home over the next 7 days, take an ART self-test on the same day: You will need to test negative before you can leave.
On Day 7, take a final ART self-test: If you test negative, you can resume normal activities. No further tests are needed.
If at any time you test positive, follow the instructions for Protocol 2. https://www.covid.gov.sg/well-but-positive
Click here for more info on what you need to do when you receive a HRW SMS. https://www.covid.gov.sg/exposed/hrw","health risk warning, HRW"
I received a HRW message. Should I be scared? What should I do?,/questions/402,"You must take an Antigen Rapid Test (ART) self-test as soon as you receive the Health Risk Warning (HRW) SMS, and upload the results here.  https://form.gov.sg/#!/61515cd8855f49001279b2ef
If you do not have any ART test kits, you can collect ART self-test kits from vending machines at venues listed here. https://www.gowhere.gov.sg/art
Should you need to leave your home over the next 7 days, take an ART self-test on the same day: You will need to test negative before you can leave.
On Day 7, take a final ART self-test: If you test negative, you can resume normal activities. No further tests are needed.
If at any time you test positive, follow the instructions for Protocol 2. https://www.covid.gov.sg/well-but-positive
Click here for more info on what you need to do when you receive a HRW SMS. https://www.covid.gov.sg/exposed/hrw",HRW
I got a Health Risk Warning message. How ah?,/questions/402,"You must take an Antigen Rapid Test (ART) self-test as soon as you receive the Health Risk Warning (HRW) SMS, and upload the results here.  https://form.gov.sg/#!/61515cd8855f49001279b2ef
If you do not have any ART test kits, you can collect ART self-test kits from vending machines at venues listed here. https://www.gowhere.gov.sg/art
Should you need to leave your home over the next 7 days, take an ART self-test on the same day: You will need to test negative before you can leave.
On Day 7, take a final ART self-test: If you test negative, you can resume normal activities. No further tests are needed.
If at any time you test positive, follow the instructions for Protocol 2. https://www.covid.gov.sg/well-but-positive
Click here for more info on what you need to do when you receive a HRW SMS. https://www.covid.gov.sg/exposed/hrw",health risk warning
Where are the ART vending machines?,/questions/402,You can collect ART self-test kits from vending machines at venues listed here. https://www.gowhere.gov.sg/art,"ART, vending machines"
Do I need to do ART test if I receive Health risk warning?,/questions/402,"You must take an Antigen Rapid Test (ART) self-test as soon as you receive the Health Risk Warning (HRW) SMS, and upload the results here.  https://form.gov.sg/#!/61515cd8855f49001279b2ef
If you do not have any ART test kits, you can collect ART self-test kits from vending machines at venues listed here. https://www.gowhere.gov.sg/art
Should you need to leave your home over the next 7 days, take an ART self-test on the same day: You will need to test negative before you can leave.
On Day 7, take a final ART self-test: If you test negative, you can resume normal activities. No further tests are needed.
If at any time you test positive, follow the instructions for Protocol 2. https://www.covid.gov.sg/well-but-positive
Click here for more info on what you need to do when you receive a HRW SMS. https://www.covid.gov.sg/exposed/hrw","ART, health risk warning"
Can I get ART test kit for free if I receive health risk warning?,/questions/402,"You must take an Antigen Rapid Test (ART) self-test as soon as you receive the Health Risk Warning (HRW) SMS, and upload the results here.  https://form.gov.sg/#!/61515cd8855f49001279b2ef
If you do not have any ART test kits, you can collect ART self-test kits from vending machines at venues listed here. https://www.gowhere.gov.sg/art
Should you need to leave your home over the next 7 days, take an ART self-test on the same day: You will need to test negative before you can leave.
On Day 7, take a final ART self-test: If you test negative, you can resume normal activities. No further tests are needed.
If at any time you test positive, follow the instructions for Protocol 2. https://www.covid.gov.sg/well-but-positive
Click here for more info on what you need to do when you receive a HRW SMS. https://www.covid.gov.sg/exposed/hrw","ART, health risk warning"
what does it entails to receive health risk warning?,/questions/402,"You must take an Antigen Rapid Test (ART) self-test as soon as you receive the Health Risk Warning (HRW) SMS, and upload the results here.  https://form.gov.sg/#!/61515cd8855f49001279b2ef
If you do not have any ART test kits, you can collect ART self-test kits from vending machines at venues listed here. https://www.gowhere.gov.sg/art
Should you need to leave your home over the next 7 days, take an ART self-test on the same day: You will need to test negative before you can leave.
On Day 7, take a final ART self-test: If you test negative, you can resume normal activities. No further tests are needed.
If at any time you test positive, follow the instructions for Protocol 2. https://www.covid.gov.sg/well-but-positive
Click here for more info on what you need to do when you receive a HRW SMS. https://www.covid.gov.sg/exposed/hrw",health risk warning
Can I go out if I receive health risk warning?,/questions/402,"You must take an Antigen Rapid Test (ART) self-test as soon as you receive the Health Risk Warning (HRW) SMS, and upload the results here.  https://form.gov.sg/#!/61515cd8855f49001279b2ef
If you do not have any ART test kits, you can collect ART self-test kits from vending machines at venues listed here. https://www.gowhere.gov.sg/art
Should you need to leave your home over the next 7 days, take an ART self-test on the same day: You will need to test negative before you can leave.
On Day 7, take a final ART self-test: If you test negative, you can resume normal activities. No further tests are needed.
If at any time you test positive, follow the instructions for Protocol 2. https://www.covid.gov.sg/well-but-positive
Click here for more info on what you need to do when you receive a HRW SMS. https://www.covid.gov.sg/exposed/hrw",health risk warning
Do I need to take a PCR test if I receive the Health Risk Warning (HRW)?,/questions/402,"You must take an Antigen Rapid Test (ART) self-test as soon as you receive the Health Risk Warning (HRW) SMS, and upload the results here.  https://form.gov.sg/#!/61515cd8855f49001279b2ef
If you do not have any ART test kits, you can collect ART self-test kits from vending machines at venues listed here. https://www.gowhere.gov.sg/art
Should you need to leave your home over the next 7 days, take an ART self-test on the same day: You will need to test negative before you can leave.
On Day 7, take a final ART self-test: If you test negative, you can resume normal activities. No further tests are needed.
If at any time you test positive, follow the instructions for Protocol 2. https://www.covid.gov.sg/well-but-positive
Click here for more info on what you need to do when you receive a HRW SMS. https://www.covid.gov.sg/exposed/hrw","PCR, health risk warning"
Can I leave home if I receive health risk warning?,/questions/402,"You must take an Antigen Rapid Test (ART) self-test as soon as you receive the Health Risk Warning (HRW) SMS, and upload the results here.  https://form.gov.sg/#!/61515cd8855f49001279b2ef
If you do not have any ART test kits, you can collect ART self-test kits from vending machines at venues listed here. https://www.gowhere.gov.sg/art
Should you need to leave your home over the next 7 days, take an ART self-test on the same day: You will need to test negative before you can leave.
On Day 7, take a final ART self-test: If you test negative, you can resume normal activities. No further tests are needed.
If at any time you test positive, follow the instructions for Protocol 2. https://www.covid.gov.sg/well-but-positive
Click here for more info on what you need to do when you receive a HRW SMS. https://www.covid.gov.sg/exposed/hrw",health risk warning
What is the validity period of health risk warning?,/questions/402,"You must take an Antigen Rapid Test (ART) self-test as soon as you receive the Health Risk Warning (HRW) SMS, and upload the results here.  https://form.gov.sg/#!/61515cd8855f49001279b2ef
If you do not have any ART test kits, you can collect ART self-test kits from vending machines at venues listed here. https://www.gowhere.gov.sg/art
Should you need to leave your home over the next 7 days, take an ART self-test on the same day: You will need to test negative before you can leave.
On Day 7, take a final ART self-test: If you test negative, you can resume normal activities. No further tests are needed.
If at any time you test positive, follow the instructions for Protocol 2. https://www.covid.gov.sg/well-but-positive
Click here for more info on what you need to do when you receive a HRW SMS. https://www.covid.gov.sg/exposed/hrw",health risk warning
